,rotten_tomatoes_link,critic_top,review_content,movie_title
0,/m/0814255,38,142,Percy Jackson & the Olympians: The Lightning Thief
1,/m/0878835,42,136,Please Give
2,/m/10,2,13,10
3,/m/1000013-12_angry_men,6,42,12 Angry Men (Twelve Angry Men)
4,/m/1000079-20000_leagues_under_the_sea,5,21,"20,000 Leagues Under The Sea"
5,/m/10000_bc,36,145,"10,000 B.C."
6,/m/1000121-39_steps,7,37,The 39 Steps
7,/m/1000123-310_to_yuma,6,24,3:10 to Yuma
8,/m/10002008-charly,1,10,Charly (A Heartbeat Away)
9,/m/1000204-abraham_lincoln,4,10,Abraham Lincoln
10,/m/10002114-dark_water,3,13,Dark Water
11,/m/1000224-accused,1,12,The Accused
12,/m/10002516-lost_city,37,80,The Lost City
13,/m/10002519-breaking_point,1,7,The Breaking Point
14,/m/1000253-adams_rib,6,20,Adam's Rib
15,/m/10002635-bridge_of_san_luis_rey,13,24,The Bridge of San Luis Rey
16,/m/10002673-prowler,6,16,The Prowler (Cost of Living )
17,/m/10003276-criminal,35,115,Criminal
18,/m/1000334-adventures_of_mark_twain,1,5,The Adventures of Mark Twain
19,/m/10003437-deep_blue,19,49,Deep Blue
20,/m/1000355-adventures_of_robin_hood,8,38,The Adventures of Robin Hood
21,/m/10003876-man_hunt,0,11,Man Hunt
22,/m/10003925-dead_end,1,5,Dead End
23,/m/10004050-bandwagon,1,2,Bandwagon
24,/m/10004069-whore,4,6,Whore
25,/m/10004209-tristan_and_isolde,37,117,Tristan & Isolde
26,/m/10004226-wild_side,4,15,Wild Side
27,/m/10004232-10004232-tale_of_two_pizzas,5,8,A Tale of Two Pizzas
28,/m/10004288-running_scared,40,124,Running Scared
29,/m/10004352-going_the_distance,2,5,Going the Distance
30,/m/10004504-ultraviolet,22,79,Ultraviolet
31,/m/10004635-home_of_the_brave,7,14,Home of the Brave
32,/m/10004659-arthur,31,86,Arthur and the Invisibles (Arthur and the Minimoys)
33,/m/10004684-malevolence,4,16,Malevolence
34,/m/10004697-eternal,11,33,Eternal
35,/m/10004835-farewell_to_arms,6,11,A Farewell To Arms
36,/m/10004890-narrow_margin,0,8,The Narrow Margin
37,/m/10004925-matador,40,145,The Matador
38,/m/10005057-smile,7,13,Smile
39,/m/10005104-intruder,11,26,The Intruder (L'Intrus)
40,/m/10005178-saint_ralph,27,62,Saint Ralph
41,/m/10005403-the_baxter,26,71,The Baxter
42,/m/10005499-oliver_twist,39,133,Oliver Twist
43,/m/1000560-alamo,4,13,The Alamo
44,/m/10005755-g,17,25,G
45,/m/1000580-alexander_the_great,1,6,Alexander the Great
46,/m/1000581-alfie,6,21,Alfie
47,/m/10005819-10005819-neverwas,1,7,Neverwas
48,/m/10006007-the_second_chance,8,13,The Second Chance
49,/m/10006057-moonlight,6,10,Moonlight
50,/m/1000617-aliens,17,66,Aliens
51,/m/10006188-rise,2,14,Rise: Blood Hunter
52,/m/1000626-all_about_eve,19,62,All About Eve
53,/m/10006270,20,37,When Do We Eat?
54,/m/10006324,14,26,The Mostly Unfabulous Social Life of Ethan Green
55,/m/10006343-dirty,11,27,Dirty
56,/m/10006370-stay_alive,19,57,Stay Alive
57,/m/1000640-all_of_me,6,24,All of Me
58,/m/1000643-all_quiet_on_the_western_front,0,2,All Quiet on the Western Front
59,/m/10006434-dreamland,5,13,Dreamland
60,/m/10006485-black_gold,21,48,Independent Lens
61,/m/1000654-all_the_kings_men,8,31,All the King's Men
62,/m/10006588-street_fight,12,22,Street Fight
63,/m/10006848-the_motel,15,31,The Motel
64,/m/10006849-once_in_a_lifetime,23,57,Once in a Lifetime: The Extraordinary Story of the New York Cosmos
65,/m/10006856-requiem,17,34,Requiem
66,/m/10006940-silk,2,5,Gui si (Silk)
67,/m/10007139-park,7,11,Park
68,/m/10007142-the_4th_dimension,2,7,The 4th Dimension
69,/m/10007333-bon_cop_bad_cop,2,9,"Bon Cop, Bad Cop"
70,/m/10007415-amazing_grace,38,120,Amazing Grace
71,/m/10007538-silence,4,6,The Silence
72,/m/10007598-cocaine_cowboys,26,49,Cocaine Cowboys
73,/m/10007614-gone,4,11,Gone
74,/m/10007714-situation,26,47,The Situation
75,/m/10007821-snow_blind,5,5,Snow Blind
76,/m/10007856-four_sheets_to_the_wind,2,6,Four Sheets to the Wind
77,/m/10007886-the_tigers_tail,4,16,The Tiger's Tail
78,/m/10007893-its_a_boy_girl_thing,0,8,It's a Boy Girl Thing
79,/m/10007898-slipstream,14,37,Slipstream
80,/m/10007902-delirious,25,57,Delirious
81,/m/10007916_interview,41,120,Interview
82,/m/1000792-american_anthem,6,12,American Anthem
83,/m/10007947-ten,28,78,The Ten
84,/m/10007985-happening,43,179,The Happening
85,/m/10008005-moliere,30,84,Molière
86,/m/10008126-straightheads,5,19,Straightheads (Closure)
87,/m/10008140-borderland,1,7,Borderland
88,/m/10008200-spiral,2,11,Spiral
89,/m/10008234-alexandra,21,53,Alexandra
90,/m/10008390_blood_and_tears,3,6,Blood and Tears: The Arab-Israeli Conflict
91,/m/10008423-cool_school,13,25,The Cool School
92,/m/10008496-pathology,6,20,Pathology
93,/m/10008502-christmas_carol,42,189,Disney's A Christmas Carol
94,/m/10008507-deep_water,23,52,Deep Water
95,/m/10008562-road_to_victory,0,8,Road to Victory
96,/m/10008587-beverly_hills_chihuahua,29,93,Beverly Hills Chihuahua
97,/m/10008601-fireflies_in_the_garden,20,51,Fireflies in the Garden
98,/m/10008606-eye,14,79,The Eye
99,/m/10008607-day_of_the_dead,0,8,Day of the Dead
100,/m/10008611-my_best_friends_girl,17,55,My Best Friend's Girl
101,/m/10008613-burrowers,1,11,The Burrowers
102,/m/10008617-midnight_meat_train,5,32,The Midnight Meat Train
103,/m/10008618-return,29,72,The Lucky Ones
104,/m/10008621-run_fat_boy_run,38,149,Run Fatboy Run
105,/m/10008652-closing_escrow,8,13,Closing Escrow
106,/m/10008655-whiteout,26,112,Whiteout
107,/m/10008661-randy_and_the_mob,4,9,Randy and the Mob
108,/m/10008667-black_irish,4,12,Black Irish
109,/m/10008678-wild_child,6,26,Wild Child
110,/m/10008687-powder_blue,2,8,Powder Blue
111,/m/10008698-king_corn,12,23,King Corn
112,/m/10008699-terrors_advocate,18,41,L' Avocat de la Terreur (Terror's Advocate)
113,/m/10008700-darfur_now,30,55,Darfur Now
114,/m/10008701-laaga_chunari_mein_daag,2,6,Laaga Chunari Mein Daag - Journey of a Woman
115,/m/10008703-rails_and_ties,23,45,Rails & Ties
116,/m/10008705-mr_untouchable,15,24,Mr. Untouchable
117,/m/10008706-house,2,13,House
118,/m/10008744-canvas,16,25,Canvas
119,/m/10008747-skid_row,2,5,Skid Row
120,/m/10008748-saawariya,11,19,Saawariya
121,/m/10008752-aaja_nachle,3,6,Aaja Nachle
122,/m/10008754-flawless,27,89,Flawless
123,/m/10008760-what_happens_in_vegas,39,126,What Happens in Vegas
124,/m/10008785-appaloosa,42,154,Appaloosa
125,/m/10008786-good,24,66,Good
126,/m/10008820-visitor,31,114,The Visitor
127,/m/10008830-bill,7,17,Meet Bill
128,/m/10008849-married_life,38,114,Married Life
129,/m/10008856-badland,7,15,Badland
130,/m/10008924-oxford_murders,3,11,The Oxford Murders
131,/m/10008954-untraceable,39,140,Untraceable
132,/m/10008991-informers,34,101,The Informers
133,/m/10008992-meeting_resistance,11,20,Meeting Resistance
134,/m/10009001-the_freshman,15,34,The Freshman
135,/m/10009005-a_bloody_aria,9,22,Guta-yubalja-deul (A Bloody Aria)
136,/m/10009055-rocker,37,118,The Rocker
137,/m/10009063-perfect_holiday,25,54,The Perfect Holiday
138,/m/10009066-la_graine_et_le_mulet,20,52,La Graine et le Mulet (The Secret of the Grain) (Couscous)
139,/m/10009083-land_of_the_lost,47,178,Land of the Lost
140,/m/10009132-rec,5,35,[Rec]
141,/m/10009138-look,11,34,Look
142,/m/1000915-and_god_created_woman,1,3,And God Created Woman
143,/m/10009151-box,26,151,The Box
144,/m/10009169-man_in_the_chair,14,31,Man in the Chair
145,/m/10009172-undoing,6,12,Undoing
146,/m/10009176-black_water,6,19,Black Water
147,/m/10009192-21,40,164,21
148,/m/10009210-duchess_of_langeais,30,61,The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe)
149,/m/10009212-ben_x,14,37,Ben X
150,/m/10009225-body_of_lies,51,197,Body of Lies
151,/m/10009239-passengers,10,28,Passengers
152,/m/10009244-the_grand,17,42,The Grand
153,/m/10009253-the_hammer,17,39,The Hammer
154,/m/10009254-shutter,13,63,Shutter
155,/m/10009274-priest,17,97,Priest
156,/m/10009323-broken,7,36,The Broken
157,/m/10009334-the_escapist,12,40,The Escapist
158,/m/10009355-sugar,41,134,Sugar
159,/m/10009420-quid_pro_quo,16,33,Quid Pro Quo
160,/m/10009421-red,12,26,Red
161,/m/10009426-guitar,9,17,The Guitar
162,/m/10009460-the_road,49,210,The Road
163,/m/10009462-g_force,33,109,G-Force
164,/m/10009469-the_other_man,16,35,The Other Man
165,/m/10009493-duchess,44,159,The Duchess
166,/m/10009516-women,41,143,The Women
167,/m/10009526-public_enemies,54,270,Public Enemies
168,/m/10009547-night_and_day,5,12,Night and Day (Bam gua nat)
169,/m/10009552-julia,18,55,Julia
170,/m/1000957-angel_and_the_badman,0,4,Angel and the Badman
171,/m/10009583-fade_to_black,3,7,Fade to Black
172,/m/1000959-angel_heart,3,15,Angel Heart
173,/m/10009596-old_dogs,32,105,Old Dogs
174,/m/10009598-surrogates,26,113,Surrogates
175,/m/10009624-promotion,29,73,The Promotion
176,/m/10009632-notorious,46,135,Notorious
177,/m/10009635-soul_men,32,90,Soul Men
178,/m/10009636-igor,27,86,Igor
179,/m/10009680-matador,7,15,The Matador
180,/m/10009791-auteur,1,6,The Auteur
181,/m/10009799-caller,6,15,The Caller
182,/m/10009823-sin_nombre,37,108,Sin Nombre
183,/m/10009828-house_of_sleeping_beauties,7,18,Das Haus der Schlafenden Schönen (House of the Sleeping Beauties)
184,/m/10009890-stone_angel,12,23,The Stone Angel
185,/m/10009926-alvin_and_the_chipmunks_2,27,83,Alvin and the Chipmunks: The Squeakquel
186,/m/10009929-a_christmas_tale,37,130,Un Conte de Noël (A Christmas Tale)
187,/m/10009980-rebound,2,26,The Rebound
188,/m/10009992-ripple_effect,3,7,Ripple Effect
189,/m/1000_times_good_night,19,54,"1,000 Times Good Night"
190,/m/10010011-harold,6,14,Harold
191,/m/10010066-push,30,122,Push
192,/m/10010077-felon,13,20,Felon
193,/m/10010131-scar,5,17,Scar
194,/m/10010150-unborn,24,112,The Unborn
195,/m/10010153-bitch_slap,4,17,Bitch Slap
196,/m/10010155-forever_strong,10,18,Forever Strong
197,/m/10010208-chocolate,9,30,Chocolate
198,/m/10010214-fireproof,8,20,Fireproof
199,/m/10010229-dostana,5,15,Dostana
200,/m/10010249-the_garden,10,24,The Garden
201,/m/10010329-splinter,17,33,Splinter
202,/m/10010334-leaves_of_grass,14,35,Leaves of Grass
203,/m/10010335-rab_ne_bana_di_jodi,3,9,Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven)
204,/m/10010458-proposal,43,179,The Proposal
205,/m/10010552-gigantic,22,74,Gigantic
206,/m/10010568-fuel,8,16,Fuel
207,/m/10010571-hush,2,7,Hush
208,/m/1001063-anna_karenina,0,11,Anna Karenina
209,/m/10010658-orphan,38,147,Orphan
210,/m/10010662-my_sisters_keeper,38,128,My Sister's Keeper
211,/m/10010667-hangover,47,233,The Hangover
212,/m/10010668-stepfather,14,61,The Stepfather
213,/m/10010675-departures,35,102,Okuribito (Departures)
214,/m/10010680-boogie,3,10,Boogie (Summer Holiday)
215,/m/10010692-ballerina,10,24,Prima Ballerina
216,/m/10010694-season_of_the_witch,30,119,Season of the Witch
217,/m/10010703-shuttle,8,20,Shuttle
218,/m/10010760-miss_march,18,78,Miss March
219,/m/10010782-american_affair,16,34,An American Affair
220,/m/10010785-grace,4,30,Grace
221,/m/10010787-endgame,2,7,Endgame
222,/m/10010789-red_baron,9,23,The Red Baron (Der rote Baron)
223,/m/10010919-objective,4,12,The Objective
224,/m/10010940-happy_tears,15,31,Happy Tears
225,/m/10010944-missing_person,12,23,The Missing Person
226,/m/10010957-polanski_unauthorized,3,6,Polanski (Polanski Unauthorized)
227,/m/10010972-mammoth,16,39,Mammoth (Mammut)
228,/m/10011003-crude,24,64,Crude
229,/m/10011016-messenger,39,153,The Messenger
230,/m/10011050-lake_mungo,0,16,Lake Mungo
231,/m/10011079-country_teacher,10,23,Venkovský Ucitel (The Country Teacher)
232,/m/1001115-apartment,16,57,The Apartment
233,/m/10011154-golden_boys,6,18,Chatham (The Golden Boys)
234,/m/1001117-ape,0,3,The Ape
235,/m/10011235-fame,37,114,Fame
236,/m/10011262-outrage,24,56,Outrage
237,/m/10011284-skin,24,62,Skin
238,/m/10011303-helen,7,18,Helen
239,/m/10011304-thirst,31,106,Bakjwi (Thirst)
240,/m/10011335-vengeance,10,21,Vengeance (Fuk sau)
241,/m/10011379-new_world_order,4,9,New World Order
242,/m/1001138-april_fools_day,1,9,April Fool's Day
243,/m/10011388-blood_the_last_vampire,15,48,Blood: The Last Vampire
244,/m/10011435-shrink,30,56,Shrink
245,/m/10011457-ong_bak_2_2009,19,68,Ong Bak 2
246,/m/10011489-bananas,3,5,Bananas!
247,/m/10011494-last_ride,10,26,Last Ride
248,/m/10011582-TRON_legacy,52,236,Tron Legacy
249,/m/10011647-canyon,7,15,The Canyon
250,/m/10011699-leslie_my_name_is_evil,2,7,"Manson, My Name Is Evil"
251,/m/10011721-broken_hill,2,6,Broken Hill
252,/m/10011735-beautiful_life,8,12,A Beautiful Life
253,/m/10011736-suck,2,9,Suck
254,/m/10011774-chloe,44,159,Chloe
255,/m/1001180-armed_and_dangerous,2,6,Armed and Dangerous
256,/m/10011815-hole,7,36,The Hole
257,/m/10011846-nobodys_perfect,6,11,NoBody's Perfect
258,/m/10011854-good_soldier,5,15,The Good Soldier
259,/m/10011857-high_life,2,4,High Life
260,/m/1001193-around_the_world_in_80_days,8,33,Around the World in 80 Days
261,/m/10011944-good_heart,17,35,The Good Heart
262,/m/10011946-wonderful_world,14,26,Wonderful World
263,/m/10011949-collapse,16,36,Collapse
264,/m/10011950-three_blind_mice,1,4,Three Blind Mice
265,/m/10011984-last_song,34,117,The Last Song
266,/m/10012014-babies,35,112,Babies
267,/m/10012039-lottery_ticket,24,77,Lottery Ticket
268,/m/10012042-going_the_distance,36,163,Going the Distance
269,/m/10012044-life_as_we_know_it,38,145,Life as We Know It
270,/m/10012050-final,1,8,The Final
271,/m/10012051-frozen,29,94,Frozen
272,/m/10012058-prodigal_sons,11,28,Prodigal Sons
273,/m/10012063-ghost_writer,45,202,The Ghost Writer
274,/m/10012068-repo_men,33,148,Repo Men
275,/m/10012104-7_days,2,13,7 Days (Les 7 jours du talion)
276,/m/10012114-daddy_longlegs,17,28,Daddy Longlegs
