title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
The Godfather,6000000,41.109264,1972,245066411,175,8.5,6024
The Shawshank Redemption,25000000,51.645403,1994,28341469,142,8.5,8358
Fight Club,63000000,63.869599,1999,100853753,139,8.3,9678
Schindler's List,22000000,41.725122999999996,1993,321365567,195,8.3,4436
One Flew Over the Cuckoo's Nest,3000000,35.529554,1975,108981275,133,8.3,3001
The Dark Knight,185000000,123.167259,2008,1004558444,152,8.3,12269
Whiplash,3300000,64.29999000000001,2014,13092000,105,8.3,4376
Psycho,806948,36.826309,1960,32000000,109,8.3,2405
The Godfather: Part II,13000000,36.629307,1974,47542841,200,8.3,3418
Pulp Fiction,8000000,140.95023600000002,1994,213928762,154,8.3,8670
GoodFellas,25000000,15.424092000000002,1990,46836394,145,8.2,3211
The Empire Strikes Back,18000000,19.470959,1980,538400000,124,8.2,5998
American History X,20000000,18.157166,1998,23875127,119,8.2,3120
Forrest Gump,55000000,48.307194,1994,677945399,142,8.2,8147
12 Angry Men,350000,16.503959,1957,1000000,96,8.2,2130
Rear Window,1000000,17.911314,1954,36764313,112,8.2,1531
The Green Mile,60000000,19.96678,1999,284600000,189,8.2,4166
The Shining,19000000,19.611589000000002,1980,44017374,144,8.1,3890
Inception,160000000,29.108148999999997,2010,825532764,148,8.1,14075
The Lord of the Rings: The Return of the King,94000000,29.324358,2003,1118888979,201,8.1,8226
The Silence of the Lambs,19000000,4.307222,1991,272742922,119,8.1,4549
Se7en,33000000,18.45743,1995,327311859,127,8.1,5915
The Usual Suspects,6000000,16.302466,1995,23341568,106,8.1,3334
Interstellar,165000000,32.213481,2014,675120017,169,8.1,11187
Memento,9000000,15.450789000000002,2000,39723096,113,8.1,4168
Reservoir Dogs,1200000,12.22034,1992,14661007,99,8.1,3821
Taxi Driver,1300000,14.092713,1976,28262574,114,8.1,2632
Star Wars,11000000,42.149696999999996,1977,775398007,121,8.1,6778
Dead Poets Society,16400000,19.905716,1989,235860116,129,8.1,2786
The Pianist,35000000,14.811594,2002,120072577,150,8.1,1927
Room,6000000,12.443291,2015,35401758,117,8.1,2838
It's a Wonderful Life,3180000,15.031588000000001,1946,9644124,130,8.0,1103
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000,9.803980000000001,1964,9440272,95,8.0,1472
Scarface,25000000,11.299673,1983,65884703,170,8.0,3017
The Lord of the Rings: The Fellowship of the Ring,93000000,32.070725,2001,871368364,178,8.0,8892
Citizen Kane,839727,15.811921,1941,23217674,119,8.0,1244
Vertigo,2479000,18.20822,1958,28000000,128,8.0,1162
The Imitation Game,14000000,31.595940000000002,2014,233555708,113,8.0,5895
A Clockwork Orange,2200000,17.112594,1971,26589000,136,8.0,3432
Lion,12000000,17.085145,2016,140302754,118,8.0,1699
Apocalypse Now,31500000,13.5963,1979,89460381,153,8.0,2112
The Lion King,45000000,21.605760999999998,1994,788241776,89,8.0,5520
The Grand Budapest Hotel,30000000,14.442048000000002,2014,174600318,99,8.0,4644
The Lord of the Rings: The Two Towers,79000000,29.423537,2002,926287400,179,8.0,7641
Back to the Future,19000000,25.778509,1985,381109762,116,8.0,6239
The Prestige,40000000,16.94556,2006,109676311,130,8.0,4510
Good Will Hunting,10000000,15.064832999999998,1997,225933435,126,7.9,2880
Guardians of the Galaxy,170000000,53.291601,2014,773328629,121,7.9,10014
Gone Girl,61000000,154.80100900000002,2014,369330363,145,7.9,6023
Saving Private Ryan,70000000,21.758054,1998,481840909,169,7.9,5148
2001: A Space Odyssey,10500000,22.494622,1968,68700000,149,7.9,3075
The Wolf of Wall Street,100000000,16.382422000000002,2013,392000694,180,7.9,6768
Full Metal Jacket,17000000,13.941479999999999,1987,46357676,116,7.9,2595
Inside Out,175000000,23.985587,2015,857611174,94,7.9,6737
Dallas Buyers Club,5000000,14.785719,2013,55198285,117,7.9,2973
American Beauty,15000000,20.726578,1999,356296601,122,7.9,3438
Prisoners,46000000,11.96262,2013,122126687,153,7.9,3183
Alien,11000000,23.37742,1979,104931801,117,7.9,4564
Casablanca,878000,13.916101000000001,1942,10462500,102,7.9,1462
Return of the Jedi,32350000,14.586087,1983,572700000,135,7.9,4763
The Matrix,63000000,33.366332,1999,463517383,136,7.9,9079
12 Years a Slave,20000000,30.316249,2013,187000000,134,7.9,3787
The Help,25000000,7.486117999999999,2011,124272124,146,7.9,1966
Her,23000000,13.829514999999999,2013,47351251,126,7.9,4215
Captain Fantastic,5000000,16.519276,2016,5879736,119,7.9,1569
Inglourious Basterds,70000000,16.89564,2009,319131050,153,7.9,6598
Eternal Sunshine of the Spotless Mind,20000000,12.906327000000001,2004,72258126,108,7.9,3758
The Departed,90000000,18.515448000000003,2006,289847354,151,7.9,4455
La La Land,30000000,19.681686,2016,445435700,128,7.9,4745
There Will Be Blood,25000000,8.200627,2007,77208711,158,7.9,1581
Blade Runner,28000000,96.272374,1982,33139618,117,7.9,3833
Harry Potter and the Deathly Hallows: Part 2,125000000,24.990737,2011,1342000000,130,7.9,6141
Mr. Nobody,47000000,11.817059,2009,3547209,156,7.9,1616
Requiem for a Dream,4500000,6.874828,2000,7390108,102,7.9,2525
Gladiator,103000000,23.186667,2000,457640427,155,7.9,5566
Stand by Me,8000000,15.206957000000001,1986,52287414,89,7.8,1568
Hacksaw Ridge,40000000,21.037699,2016,175302354,140,7.8,3294
Amadeus,18000000,12.677592,1984,51973029,160,7.8,1107
Annie Hall,4000000,18.146043,1977,38251425,93,7.8,1044
The Thing,15000000,16.83125,1982,19629760,109,7.8,1629
Hidden Figures,25000000,16.816834,2016,230698791,127,7.8,2178
Trainspotting,4000000,19.348466000000002,1996,16491080,93,7.8,2737
The Theory of Everything,15000000,11.853019999999999,2014,123726688,123,7.8,3403
Pride & Prejudice,28000000,14.439082999999998,2005,121147947,135,7.8,1406
