Column1,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,star_power,first_genre
0,The Godfather,36703349,41.109264,1972,1499126346,175,8.5,6024,1,Drama
1,The Shawshank Redemption,43134278,51.645403,1994,48899552,142,8.5,8358,1,Drama
2,Fight Club,96693277,63.869599,1999,154791744,139,8.3,9678,1,Comedy
3,Schindler's List,38930103,41.725122999999996,1993,568672494,195,8.3,4436,1,Drama
4,One Flew Over the Cuckoo's Nest,14258364,35.529554,1975,517964907,133,8.3,3001,1,Classics
5,The Dark Knight,219714352,123.167259,2008,1193058960,152,8.3,12269,1,Action & Adventure
6,Whiplash,3564892,64.29999000000001,2014,14142899,105,8.3,4376,1,Drama
7,Psycho,6970831,36.826309,1960,276432432,109,8.3,2405,1,Horror
8,The Godfather: Part II,67425963,36.629307,1974,246586297,200,8.3,3418,0,None
9,Pulp Fiction,13802968,140.95023600000002,1994,369106507,154,8.3,8670,1,Drama
10,GoodFellas,48909716,15.424092000000002,1990,91630190,145,8.2,3211,1,Drama
12,American History X,31374233,18.157166,1998,37453190,119,8.2,3120,1,Drama
13,Forrest Gump,94895411,48.307194,1994,1169707412,142,8.2,8147,1,Comedy
14,12 Angry Men,3184875,16.503959,1957,9099644,96,8.2,2130,1,Drama
15,Rear Window,9505576,17.911314,1954,349465978,112,8.2,1531,1,Classics
16,The Green Mile,92088835,19.96678,1999,436808043,189,8.2,4166,1,Drama
17,The Shining,58959951,19.611589000000002,1980,136592749,144,8.1,3890,1,Drama
18,Inception,187583677,29.108148999999997,2010,967852947,148,8.1,14075,1,Action & Adventure
19,The Lord of the Rings: The Return of the King,130629347,29.324358,2003,1554890825,201,8.1,8226,1,Action & Adventure
20,The Silence of the Lambs,35670337,4.307222,1991,512043797,119,8.1,4549,1,Horror
21,Se7en,55368110,18.45743,1995,549170881,127,8.1,5915,0,None
22,The Usual Suspects,10066929,16.302466,1995,39162985,106,8.1,3334,1,Drama
23,Interstellar,178244613,32.213481,2014,729312160,169,8.1,11187,1,Action & Adventure
24,Memento,13364111,15.450789000000002,2000,58984876,113,8.1,4168,1,Drama
25,Reservoir Dogs,2187027,12.22034,1992,26720024,99,8.1,3821,1,Action & Adventure
26,Taxi Driver,5842003,14.092713,1976,127007735,114,8.1,2632,1,Drama
28,Dead Poets Society,33818387,19.905716,1989,486366384,129,8.1,2786,1,Drama
