,title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,first_genre,second_genre,third_genre,top_critic_review_count,review_count,star_power
0,The Godfather,6000000,41.109264,1972,"1,499,126,346.72",175,8.5,6024,Drama,,,24,82,1
1,The Shawshank Redemption,25000000,51.645403,1994,"48,899,552.11",142,8.5,8358,Drama,,,18,63,1
2,Fight Club,63000000,63.869599,1999,"154,791,744.55",139,8.3,9678,Comedy,Drama,,36,153,1
3,Schindler's List,22000000,41.725123,1993,"568,672,494.68",195,8.3,4436,Drama,,,22,84,1
4,One Flew Over the Cuckoo's Nest,3000000,35.529554,1975,"517,964,907.39",133,8.3,3001,Classics,Drama,,13,59,1
5,The Dark Knight,185000000,123.167259,2008,"1,193,058,960.20",152,8.3,12269,Action & Adventure,Drama,Science Fiction & Fantasy,58,329,1
6,Whiplash,3300000,64.29999,2014,"14,142,899.87",105,8.3,4376,Drama,,,63,287,1
7,Psycho,806948,36.826309,1960,"276,432,432.43",109,8.3,2405,Horror,Mystery & Suspense,,18,68,1
8,Psycho,806948,36.826309,1960,"276,432,432.43",109,8.3,2405,Classics,Horror,Mystery & Suspense,18,68,1
9,Pulp Fiction,8000000,140.950236,1994,"369,106,507.72",154,8.3,8670,Drama,,,30,98,1
10,GoodFellas,25000000,15.424092,1990,"91,630,190.86",145,8.2,3211,Drama,,,24,83,1
11,American History X,20000000,18.157166,1998,"37,453,190.02",119,8.2,3120,Drama,,,23,76,1
12,Forrest Gump,55000000,48.307194,1994,"1,169,707,412.44",142,8.2,8147,Comedy,Drama,Romance,27,91,1
13,12 Angry Men,350000,16.503959,1957,"9,099,644.13",96,8.2,2130,Drama,Television,,0,5,1
14,Rear Window,1000000,17.911314,1954,"349,465,978.96",112,8.2,1531,Classics,Drama,Mystery & Suspense,18,61,1
15,The Green Mile,60000000,19.96678,1999,"436,808,043.22",189,8.2,4166,Drama,Mystery & Suspense,Science Fiction & Fantasy,31,123,1
16,The Shining,19000000,19.611589,1980,"136,592,749.17",144,8.1,3890,Drama,Horror,Mystery & Suspense,17,82,1
17,Inception,160000000,29.108149,2010,"967,852,947.06",148,8.1,14075,Action & Adventure,Drama,Mystery & Suspense,61,346,1
18,The Lord of the Rings: The Return of the King,94000000,29.324358,2003,"1,554,890,825.71",201,8.1,8226,Action & Adventure,Classics,Science Fiction & Fantasy,51,265,1
19,The Silence of the Lambs,19000000,4.307222,1991,"512,043,797.03",119,8.1,4549,Horror,Mystery & Suspense,,26,87,1
20,The Usual Suspects,6000000,16.302466,1995,"39,162,985.15",106,8.1,3334,Drama,Mystery & Suspense,,19,68,1
21,Interstellar,165000000,32.213481,2014,"729,312,160.32",169,8.1,11187,Action & Adventure,Science Fiction & Fantasy,,58,347,1
22,Memento,9000000,15.450789,2000,"58,984,876.00",113,8.1,4168,Drama,Mystery & Suspense,,43,170,1
23,Reservoir Dogs,1200000,12.22034,1992,"26,720,024.87",99,8.1,3821,Action & Adventure,Drama,Mystery & Suspense,22,64,1
24,Taxi Driver,1300000,14.092713,1976,"127,007,735.88",114,8.1,2632,Drama,Mystery & Suspense,,18,79,1
25,Dead Poets Society,16400000,19.905716,1989,"486,366,384.36",129,8.1,2786,Drama,,,9,40,1
26,The Pianist,35000000,14.811594,2002,"170,664,579.98",150,8.1,1927,Drama,,,40,170,1
27,Room,6000000,12.443291,2015,"38,195,061.27",117,8.1,2838,Drama,,,53,301,1
28,It's a Wonderful Life,3180000,15.031588,1946,"126,461,667.02",130,8,1103,Classics,Drama,Kids & Family,15,65,1
29,Scarface,25000000,11.299673,1983,"169,143,760.61",170,8,3017,Classics,Drama,,7,29,2
30,Scarface,25000000,11.299673,1983,"169,143,760.61",170,8,3017,Action & Adventure,Drama,Mystery & Suspense,7,29,2
31,The Lord of the Rings: The Fellowship of the Ring,93000000,32.070725,2001,"1,258,096,502.96",178,8,8892,Action & Adventure,Classics,Drama,49,221,1
32,Citizen Kane,839727,15.811921,1941,"403,861,172.91",119,8,1244,Classics,Drama,Mystery & Suspense,20,80,1
33,Vertigo,2479000,18.20822,1958,"247,737,024.22",128,8,1162,Classics,Drama,Mystery & Suspense,21,70,1
34,The Imitation Game,14000000,31.59594,2014,"252,303,314.47",113,8,5895,Drama,Mystery & Suspense,,57,273,1
35,A Clockwork Orange,2200000,17.112594,1971,"167,871,785.19",136,8,3432,Classics,Drama,Mystery & Suspense,14,57,1
36,Lion,12000000,17.085145,2016,"149,480,892.49",118,8,1699,Drama,,,46,257,0
37,Apocalypse Now,31500000,13.5963,1979,"315,082,912.14",153,8,2112,Action & Adventure,Drama,,23,86,1
38,The Lion King,45000000,21.605761,1994,"1,360,009,595.97",89,8,5520,Action & Adventure,Animation,Drama,27,120,1
39,The Lion King,45000000,21.605761,1994,"1,360,009,595.97",89,8,5520,Action & Adventure,Animation,Drama,27,120,1
40,The Grand Budapest Hotel,30000000,14.442048,2014,"188,615,552.65",99,8,4644,Comedy,Drama,,61,293,1
41,The Lord of the Rings: The Two Towers,79000000,29.423537,2002,"1,316,574,142.19",179,8,7641,Action & Adventure,Classics,Drama,49,245,1
42,Back to the Future,19000000,25.778509,1985,"905,666,971.59",116,8,6239,Action & Adventure,Comedy,Science Fiction & Fantasy,20,69,1
43,The Prestige,40000000,16.94556,2006,"139,108,297.24",130,8,4510,Action & Adventure,Drama,Mystery & Suspense,48,195,1
44,Good Will Hunting,10000000,15.064833,1997,"359,945,042.55",126,7.9,2880,Drama,,,18,67,1
45,Guardians of the Galaxy,170000000,53.291601,2014,"835,404,015.36",121,7.9,10014,Action & Adventure,Science Fiction & Fantasy,,56,313,1
46,Gone Girl,61000000,154.801009,2014,"398,976,653.23",145,7.9,6023,Drama,Mystery & Suspense,,63,344,1
47,Saving Private Ryan,70000000,21.758054,1998,"755,869,450.50",169,7.9,5148,Action & Adventure,Drama,,39,130,1
48,2001: A Space Odyssey,10500000,22.494622,1968,"504,787,068.97",149,7.9,3075,Classics,Science Fiction & Fantasy,,26,100,0
49,The Wolf of Wall Street,100000000,16.382422,2013,"430,191,319.55",180,7.9,6768,Drama,,,53,273,1
50,Full Metal Jacket,17000000,13.94148,1987,"104,345,578.81",116,7.9,2595,Action & Adventure,Drama,,12,59,0
51,Inside Out,175000000,23.985587,2015,"925,279,228.66",94,7.9,6737,Animation,Kids & Family,,58,353,1
52,Inside Out,175000000,23.985587,2015,"925,279,228.66",94,7.9,6737,Drama,Sports & Fitness,,58,353,1
53,Dallas Buyers Club,5000000,14.785719,2013,"60,575,971.99",117,7.9,2973,Drama,,,55,252,1
54,American Beauty,15000000,20.726578,1999,"546,848,984.85",122,7.9,3438,Comedy,Drama,,47,179,1
55,Prisoners,46000000,11.96262,2013,"134,024,866.38",153,7.9,3183,Drama,Mystery & Suspense,,57,241,1
56,Alien,11000000,23.37742,1979,"369,573,850.08",117,7.9,4564,Drama,Mystery & Suspense,Science Fiction & Fantasy,27,112,1
57,Casablanca,878000,13.916101,1942,"164,126,457.06",102,7.9,1462,Classics,Drama,Romance,20,77,1
58,The Matrix,63000000,33.366332,1999,"711,412,934.17",136,7.9,9079,Action & Adventure,Science Fiction & Fantasy,,35,142,1
59,12 Years a Slave,20000000,30.316249,2013,"205,218,454.94",134,7.9,3787,Drama,,,61,352,1
60,The Help,25000000,7.486118,2011,"141,291,160.99",146,7.9,1966,Drama,,,50,222,1
61,Her,23000000,13.829515,2013,"51,964,441.55",126,7.9,4215,Drama,Science Fiction & Fantasy,Special Interest,50,268,1
62,Captain Fantastic,5000000,16.519276,2016,"6,264,368.73",119,7.9,1569,Drama,,,46,218,1
63,Inglourious Basterds,70000000,16.89564,2009,"380,428,016.25",153,7.9,6598,Action & Adventure,Drama,,59,319,1
64,The Departed,90000000,18.515448,2006,"367,628,811.60",151,7.9,4455,Action & Adventure,Drama,Mystery & Suspense,59,274,1
65,La La Land,30000000,19.681686,2016,"474,574,618.71",128,7.9,4745,Comedy,Drama,Musical & Performing Arts,63,431,1
66,There Will Be Blood,25000000,8.200627,2007,"95,235,250.37",158,7.9,1581,Drama,,,50,224,1
67,Blade Runner,28000000,96.272374,1982,"87,811,402.31",117,7.9,3833,Drama,Science Fiction & Fantasy,,25,98,1
68,Mr. Nobody,47000000,11.817059,2009,"4,228,537.72",156,7.9,1616,Art House & International,Drama,Science Fiction & Fantasy,6,30,1
69,Requiem for a Dream,4500000,6.874828,2000,"10,973,580.81",102,7.9,2525,Drama,,,36,130,1
70,Gladiator,103000000,23.186667,2000,"679,550,854.73",155,7.9,5566,Action & Adventure,Drama,,5,8,1
71,Gladiator,103000000,23.186667,2000,"679,550,854.73",155,7.9,5566,Action & Adventure,Classics,Drama,5,8,1
72,Stand by Me,8000000,15.206957,1986,"121,988,063.50",89,7.8,1568,Action & Adventure,Drama,,10,38,0
73,Hacksaw Ridge,40000000,21.037699,2016,"186,770,049.66",140,7.8,3294,Action & Adventure,Drama,,51,266,1
74,Amadeus,18000000,12.677592,1984,"127,906,674.83",160,7.8,1107,Drama,Musical & Performing Arts,,23,87,1
75,Annie Hall,4000000,18.146043,1977,"161,400,814.73",93,7.8,1044,Comedy,Romance,,17,64,1
76,The Thing,15000000,16.83125,1982,"52,013,778.57",109,7.8,1629,Horror,Science Fiction & Fantasy,,9,55,1
77,The Thing,15000000,16.83125,1982,"52,013,778.57",109,7.8,1629,Drama,Horror,Mystery & Suspense,9,55,1
78,Hidden Figures,25000000,16.816834,2016,"245,790,336.91",127,7.8,2178,Drama,,,41,300,1
79,Trainspotting,4000000,19.348466,1996,"26,875,520.43",93,7.8,2737,Comedy,Drama,,24,77,1
80,The Theory of Everything,15000000,11.85302,2014,"133,658,276.81",123,7.8,3403,Drama,,,59,262,1
81,Casino,52000000,10.137389,1995,"194,815,841.78",178,7.8,1343,Drama,,,17,52,1
82,The Breakfast Club,1000000,12.627678,1985,"122,444,109.89",97,7.8,2189,Comedy,Drama,,13,49,1
83,The Big Lebowski,15000000,15.952524,1998,"72,458,113.73",117,7.8,3001,Comedy,,,19,94,1
84,The Truman Show,60000000,13.155901,1998,"414,325,300.59",103,7.8,4702,Comedy,Drama,,32,116,1
85,Big Hero 6,165000000,213.849907,2014,"704,450,197.61",102,7.8,6289,Animation,Kids & Family,,47,218,0
86,Into the Wild,15000000,15.423538,2007,"69,389,482.92",148,7.8,3139,Action & Adventure,Drama,,54,193,0
87,North by Northwest,4000000,12.410427,1959,"116,247,174.66",136,7.8,1062,Classics,Mystery & Suspense,,15,65,1
88,Django Unchained,100000000,19.785025,2012,"473,722,380.04",165,7.8,10297,Drama,Western,,52,277,1
89,Gran Torino,33000000,14.794228,2008,"320,614,579.19",116,7.8,3181,Drama,,,54,228,1
90,Spotlight,20000000,14.63239,2015,"95,317,270.66",128,7.8,2751,Drama,Mystery & Suspense,,56,349,1
