,title,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue
0,Percy Jackson & the Olympians: The Lightning Thief,87,53.0,254287.0,38,71,73,226497209.0
1,10,46,53.0,14670.0,2,15,7,74865517.0
2,3:10 to Yuma,14,78.0,9224.0,6,26,1,70016220.0
3,Dark Water,8,66.0,21459.0,3,12,3,25473093.0
4,The Lost City,23,64.0,25940.0,37,21,62,4386236.0
5,Criminal,24,57.0,6702.0,36,85,39,14708696.0
6,The Adventures of Mark Twain,6,82.0,1042.0,1,4,1,849915.0
7,The Adventures of Robin Hood,40,89.0,33890.0,8,46,0,3981000.0
8,Whore,10,63.0,914.0,4,0,6,1008404.0
9,Tristan & Isolde,39,71.0,220945.0,37,38,83,28000000.0
10,Running Scared,28,79.0,135373.0,40,53,77,9500000.0
11,Going the Distance,18,61.0,13032.0,2,0,5,42045846.0
12,Ultraviolet,34,30.0,279966.0,22,7,76,31070211.0
13,The Matador,14,65.0,73691.0,40,115,39,17297244.0
14,Oliver Twist,51,63.0,23278.0,39,85,56,42093706.0
15,The Alamo,59,63.0,7323.0,4,10,10,7900000.0
16,The Alamo,59,63.0,7323.0,4,10,10,25819961.0
17,G,25,60.0,1140.0,17,7,22,3020784.0
18,Alfie,16,77.0,14657.0,6,25,1,13395939.0
19,Moonlight,7,67.0,1430.0,6,6,4,65046687.0
20,Aliens,26,94.0,429158.0,17,71,1,183316455.0
21,All About Eve,24,94.0,45151.0,19,67,0,63463.0
22,The Mostly Unfabulous Social Life of Ethan Green,27,58.0,2392.0,14,7,19,152810.0
23,Stay Alive,23,55.0,113399.0,19,5,53,27105095.0
24,All the King's Men,30,78.0,4844.0,8,34,1,9450897.0
25,Requiem,15,66.0,4728.0,17,30,5,60700.0
26,Cocaine Cowboys,5,79.0,77109.0,26,35,16,163000.0
27,Gone,9,20.0,3327.0,4,7,6,18100189.0
28,It's a Boy Girl Thing,27,61.0,30366.0,0,6,3,7385434.0
29,Slipstream,19,29.0,3520.0,14,10,30,27769.0
30,Delirious,15,57.0,8462.0,25,49,11,5546827.0
31,The Happening,67,24.0,370131.0,42,32,147,163403799.0
32,Beverly Hills Chihuahua,18,52.0,186544.0,30,39,58,149281606.0
33,The Eye,40,43.0,303432.0,14,17,62,56309766.0
34,Day of the Dead,21,22.0,11084.0,0,1,7,34000000.0
35,My Best Friend's Girl,19,46.0,86580.0,17,8,51,36620508.0
36,The Midnight Meat Train,14,50.0,143520.0,5,23,9,3533227.0
37,Whiteout,25,21.0,538847.0,27,8,107,12206028.0
38,Wild Child,18,61.0,17478.0,6,11,16,21972336.0
39,King Corn,20,78.0,3199.0,12,25,1,81368.0
40,Rails & Ties,28,58.0,10100.0,23,16,31,22136.0
41,Aaja Nachle,20,72.0,4354.0,3,4,2,3800000.0
42,Flawless,21,54.0,12567.0,27,52,43,4488529.0
43,Flawless,21,54.0,12567.0,27,52,43,6819587.0
44,What Happens in Vegas,45,65.0,501679.0,39,34,97,170000000.0
45,Appaloosa,149,55.0,55670.0,43,124,39,20211394.0
46,The Visitor,26,84.0,127066.0,31,105,13,9234510.0
47,Meet Bill,15,44.0,8163.0,7,4,15,346592.0
48,Untraceable,40,52.0,225115.0,39,24,124,32483410.0
49,The Informers,30,18.0,18503.0,35,13,92,382174.0
50,The Rocker,19,46.0,44180.0,37,50,73,8762890.0
51,The Perfect Holiday,21,52.0,159641.0,25,9,48,5800000.0
52,Land of the Lost,38,32.0,542614.0,48,49,140,68688831.0
53,Look,18,56.0,709.0,11,21,14,16136.0
54,The Box,50,24.0,359067.0,27,68,87,33333531.0
55,21,41,66.0,367740.0,40,60,109,69823199.0
56,Body of Lies,8,62.0,129956.0,52,115,96,113280098.0
57,Passengers,14,35.0,29506.0,11,6,25,2000000.0
58,Passengers,14,35.0,29506.0,11,6,25,303144152.0
59,Priest,35,46.0,86566.0,17,15,84,4176932.0
60,Priest,35,46.0,86566.0,17,15,84,78309131.0
61,The Road,16,68.0,248392.0,49,156,57,27635305.0
62,G-Force,34,39.0,964628.0,34,28,98,292817841.0
63,The Other Man,21,18.0,4511.0,17,6,33,1143856.0
64,The Women,16,38.0,62029.0,42,19,128,2270000.0
65,The Women,16,38.0,62029.0,42,19,128,50007546.0
66,Public Enemies,81,59.0,633635.0,55,187,89,214104620.0
67,Julia,16,67.0,17304.0,18,42,15,1300000.0
68,Angel Heart,54,81.0,30038.0,3,20,6,17185632.0
