Column1,title,rotten_tomatoes_link,star_count,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count,revenue,top_critic_review_count,review_count
0,Percy Jackson & the Olympians: The Lightning Thief,/m/0814255,87,53,254287,38,71,73,226497209,38,142
1,10,/m/10,46,53,14670,2,15,7,74865517,2,13
2,3:10 to Yuma,/m/1000123-310_to_yuma,14,78,9224,6,26,1,70016220,6,24
4,Dark Water,/m/10002114-dark_water,8,66,21459,3,12,3,25473093,3,13
6,The Lost City,/m/10002516-lost_city,23,64,25940,37,21,62,4386236,37,80
7,Criminal,/m/10003276-criminal,24,57,6702,36,85,39,14708696,35,115
9,The Adventures of Mark Twain,/m/1000334-adventures_of_mark_twain,6,82,1042,1,4,1,849915,1,5
10,The Adventures of Robin Hood,/m/1000355-adventures_of_robin_hood,40,89,33890,8,46,0,3981000,8,38
11,Whore,/m/10004069-whore,10,63,914,4,0,6,1008404,4,6
12,Tristan & Isolde,/m/10004209-tristan_and_isolde,39,71,220945,37,38,83,28000000,37,117
13,Running Scared,/m/10004288-running_scared,28,79,135373,40,53,77,9500000,40,124
15,Going the Distance,/m/10004352-going_the_distance,18,61,13032,2,0,5,42045846,2,5
17,Ultraviolet,/m/10004504-ultraviolet,34,30,279966,22,7,76,31070211,22,79
18,The Matador,/m/10004925-matador,14,65,73691,40,115,39,17297244,40,145
20,Oliver Twist,/m/10005499-oliver_twist,51,63,23278,39,85,56,42093706,39,133
22,The Alamo,/m/1000560-alamo,59,63,7323,4,10,10,7900000,4,13
26,G,/m/10005755-g,25,60,1140,17,7,22,3020784,17,25
27,Alfie,/m/1000581-alfie,16,77,14657,6,25,1,13395939,6,21
29,Moonlight,/m/10006057-moonlight,7,67,1430,6,6,4,65046687,6,10
31,Aliens,/m/1000617-aliens,26,94,429158,17,71,1,183316455,17,66
32,All About Eve,/m/1000626-all_about_eve,24,94,45151,19,67,0,63463,19,62
33,The Mostly Unfabulous Social Life of Ethan Green,/m/10006324,27,58,2392,14,7,19,152810,14,26
34,Stay Alive,/m/10006370-stay_alive,23,55,113399,19,5,53,27105095,19,57
35,All the King's Men,/m/1000654-all_the_kings_men,30,78,4844,8,34,1,9450897,8,31
36,Requiem,/m/10006856-requiem,15,66,4728,17,30,5,60700,17,34
37,Cocaine Cowboys,/m/10007598-cocaine_cowboys,5,79,77109,26,35,16,163000,26,49
38,Gone,/m/10007614-gone,9,20,3327,4,7,6,18100189,4,11
40,It's a Boy Girl Thing,/m/10007893-its_a_boy_girl_thing,27,61,30366,0,6,3,7385434,0,8
41,Slipstream,/m/10007898-slipstream,19,29,3520,14,10,30,27769,14,37
42,Delirious,/m/10007902-delirious,15,57,8462,25,49,11,5546827,25,57
44,The Happening,/m/10007985-happening,67,24,370131,42,32,147,163403799,43,179
45,Beverly Hills Chihuahua,/m/10008587-beverly_hills_chihuahua,18,52,186544,30,39,58,149281606,29,93
46,The Eye,/m/10008606-eye,40,43,303432,14,17,62,56309766,14,79
47,Day of the Dead,/m/10008607-day_of_the_dead,21,22,11084,0,1,7,34000000,0,8
49,My Best Friend's Girl,/m/10008611-my_best_friends_girl,19,46,86580,17,8,51,36620508,17,55
50,The Midnight Meat Train,/m/10008617-midnight_meat_train,14,50,143520,5,23,9,3533227,5,32
51,Whiteout,/m/10008655-whiteout,25,21,538847,27,8,107,12206028,26,112
52,Wild Child,/m/10008678-wild_child,18,61,17478,6,11,16,21972336,6,26
53,King Corn,/m/10008698-king_corn,20,78,3199,12,25,1,81368,12,23
54,Rails & Ties,/m/10008703-rails_and_ties,28,58,10100,23,16,31,22136,23,45
55,Aaja Nachle,/m/10008752-aaja_nachle,20,72,4354,3,4,2,3800000,3,6
56,Flawless,/m/10008754-flawless,21,54,12567,27,52,43,4488529,27,89
60,What Happens in Vegas,/m/10008760-what_happens_in_vegas,45,65,501679,39,34,97,170000000,39,126
61,Appaloosa,/m/10008785-appaloosa,149,55,55670,43,124,39,20211394,42,154
62,The Visitor,/m/10008820-visitor,26,84,127066,31,105,13,9234510,31,114
64,Meet Bill,/m/10008830-bill,15,44,8163,7,4,15,346592,7,17
65,Untraceable,/m/10008954-untraceable,40,52,225115,39,24,124,32483410,39,140
66,The Informers,/m/10008991-informers,30,18,18503,35,13,92,382174,34,101
67,The Rocker,/m/10009055-rocker,19,46,44180,37,50,73,8762890,37,118
68,The Perfect Holiday,/m/10009063-perfect_holiday,21,52,159641,25,9,48,5800000,25,54
