,title,revenue
0,Toy Story,373554033.0
1,Jumanji,262797249.0
3,Waiting to Exhale,81452156.0
4,Father of the Bride Part II,76578911.0
5,Heat,187436818.0
8,Sudden Death,64350171.0
9,GoldenEye,352194034.0
10,The American President,107879496.0
12,Balto,11348324.0
13,Nixon,13681765.0
14,Cutthroat Island,10017322.0
15,Casino,116112375.0
16,Sense and Sensibility,135000000.0
17,Four Rooms,4300000.0
18,Ace Ventura: When Nature Calls,212385533.0
19,Money Train,35431113.0
20,Get Shorty,115101622.0
22,Assassins,30303072.0
24,Leaving Las Vegas,49800000.0
26,Now and Then,27400000.0
28,The City of Lost Children,1738611.0
30,Dangerous Minds,180000000.0
31,Twelve Monkeys,168840000.0
33,Babe,254134910.0
35,Dead Man Walking,39363635.0
39,"Cry, the Beloved Country",676525.0
43,Mortal Kombat,122195920.0
44,To Die For,21284514.0
45,How To Make An American Quilt,23574130.0
46,Se7en,327311859.0
47,Pocahontas,346079773.0
49,The Usual Suspects,23341568.0
51,Mighty Aphrodite,6700000.0
56,Home for the Holidays,17519169.0
61,Mr. Holland's Opus,106269971.0
65,Lawnmower Man 2: Beyond Cyberspace,2409225.0
68,Friday,28215918.0
69,From Dusk Till Dawn,25836616.0
70,Fair Game,11534477.0
71,Kicking and Screaming,718490.0
73,Bed of Roses,19030691.0
74,Big Bully,2042530.0
75,Screamers,5781885.0
80,Things to Do in Denver When You're Dead,529766.0
85,White Squall,10300000.0
88,Nick of Time,8175346.0
90,Mary Reilly,12379402.0
91,Vampire in Brooklyn,19800000.0
93,Broken Arrow,150270147.0
99,Bottle Rocket,560069.0
102,Happy Gilmore,41205099.0
103,The Bridges of Madison County,182016617.0
105,Muppet Treasure Island,34327391.0
108,Braveheart,210000000.0
109,Taxi Driver,28262574.0
110,Rumble in the Bronx,32392047.0
117,Steal Big Steal Little,6278139.0
120,Boomerang,70100000.0
123,Flirting with Disaster,14702438.0
130,Jade,9851610.0
135,Man of the Year,209935.0
139,The Birdcage,185260553.0
142,Bad Boys,141407024.0
145,An Awfully Big Adventure,851545.0
147,Apollo 13,355237933.0
148,Rob Roy,31596911.0
150,Batman Forever,336529144.0
153,Blue in the Face,1275000.0
154,Canadian Bacon,178104.0
155,Casper,287928194.0
156,Clockers,13071518.0
157,Congo,152022101.0
158,Crimson Tide,157387195.0
159,Crumb,3174695.0
160,Desperado,25405445.0
161,Devil in a Blue Dress,16140822.0
162,Die Hard: With a Vengeance,366101666.0
165,First Knight,127600435.0
167,Hackers,7563728.0
169,Johnny Mnemonic,19075720.0
170,Judge Dredd,113493481.0
171,Jury Duty,17014653.0
172,Kids,7412216.0
173,Living in Oblivion,1148752.0
176,Mad Love,15453274.0
177,Mallrats,2122561.0
178,Mighty Morphin Power Rangers: The Movie,66000000.0
182,The Net,110627965.0
183,Nine Months,69660733.0
184,Party Girl,472370.0
188,The Scarlet Letter,10382407.0
190,Showgirls,20350754.0
191,Smoke,8349430.0
192,Something to Talk About,50892160.0
193,Species,113374103.0
195,Strange Days,7959291.0
197,The Tie That Binds,5780000.0
198,Three Wishes,7025496.0
199,Total Eclipse,339889.0
200,"To Wong Foo, Thanks for Everything! Julie Newmar",47774193.0
201,Under Siege 2: Dark Territory,104324083.0
204,A Walk in the Clouds,50012507.0
205,Waterworld,264218220.0
210,Burnt by the Sun,2616503.0
211,Before the Rain,763847.0
212,Before Sunrise,5535405.0
213,Billy Madison,26488734.0
215,Boys on the Side,23450000.0
219,Clerks,3151130.0
220,Don Juan DeMarco,22200000.0
221,Disclosure,214015089.0
227,Dumb and Dumber,247275374.0
228,Eat Drink Man Woman,7294403.0
230,Exit to Eden,6841570.0
231,Ed Wood,5887457.0
235,A Goofy Movie,35348597.0
236,Hideaway,12201255.0
239,Gordy,3992809.0
242,Hoop Dreams,7830611.0
243,Heavenly Creatures,3049135.0
244,Houseguest,26325256.0
246,Heavyweights,17689177.0
249,Interview with the Vampire,223664608.0
250,Jefferson in Paris,2474000.0
252,Junior,37000000.0
256,Star Wars,775398007.0
261,Like Water for Chocolate,21665468.0
262,Legends of the Fall,160638883.0
267,Losing Isaiah,7603766.0
269,Mary Shelley's Frankenstein,112006296.0
272,Milk Money,18137661.0
273,Miracle on 34th Street,46264384.0
276,Murder in the First,17381942.0
278,Nell,106683817.0
284,Natural Born Killers,50282766.0
286,Once Were Warriors,2201126.0
288,Outbreak,189859560.0
289,Leon: The Professional,45284974.0
290,The Perez Family,2832826.0
292,Pulp Fiction,213928762.0
293,Panther,6834525.0
294,Pushing Hands,152322.0
295,Priest,4176932.0
299,The Quick and the Dead,18552460.0
300,Roommates,12400000.0
301,Prêt-à-Porter,11300653.0
309,The Swan Princess,9771658.0
311,The Specialist,170362582.0
312,Stargate,196567262.0
313,The Santa Clause,189833357.0
314,The Shawshank Redemption,28341469.0
316,Suture,102780.0
322,Tank Girl,4064495.0
324,Star Trek: Generations,120000000.0
325,Tales from the Hood,12000000.0
328,Tommy Boy,32648673.0
332,What's Eating Gilbert Grape,10032765.0
333,Virtuosity,24048000.0
334,While You Were Sleeping,182057016.0
336,Double Happiness,759393.0
337,Muriel's Wedding,15119639.0
339,Ace Ventura: Pet Detective,107217396.0
340,"The Adventures of Priscilla, Queen of the Desert",11220670.0
342,Bitter Moon,1862805.0
344,Clear and Present Danger,215887717.0
345,The Client,117615211.0
348,The Crow,94000000.0
349,Cobb,1007583.0
350,The Flintstones,341631208.0
351,Forrest Gump,677945399.0
352,Four Weddings and a Funeral,254700832.0
353,Higher Learning,38290723.0
354,I Like It Like That,1777020.0
355,I Love Trouble,61947267.0
358,"The Wonderful, Horrible Life of Leni Riefenstahl",449707.0
359,The Lion King,788241776.0
360,Little Buddha,4858139.0
361,New Nightmare,18090181.0
362,The Mask,351583407.0
365,The Naked Gun 33⅓: The Final Insult,51132598.0
367,Reality Bites,20079850.0
368,Red Rock West,2000000.0
372,Speed,350448145.0
374,Timecop,101646581.0
375,True Lies,378882411.0
376,When a Man Loves a Woman,50021959.0
378,Wyatt Earp,25052000.0
382,A Low Down Dirty Shame,29392418.0
386,Jason's Lyric,20851521.0
388,Street Fighter,99423521.0
400,Highlander: The Final Dimension,36800000.0
402,In the Mouth of Madness,8946600.0
405,Addams Family Values,48919043.0
407,The Age of Innocence,32255440.0
409,The Air Up There,21011500.0
411,Bad Girls,15240435.0
415,Beverly Hills Cop III,119208989.0
417,Blink,16668552.0
418,Blown Away,30156002.0
421,Body Snatchers,428868.0
422,Boxing Helena,1796389.0
423,A Bronx Tale,17287898.0
424,Cabin Boy,3662459.0
425,Calendar Girl,2570145.0
426,Carlito's Way,36516012.0
428,Clean Slate,7355425.0
429,Cliffhanger,255000211.0
431,Color of Night,19726050.0
435,Dave,63000000.0
436,Dazed and Confused,7993039.0
437,Demolition Man,159055768.0
446,Flesh and Bone,9488998.0
448,For Love or Money,11146270.0
449,The Firm,270248367.0
450,Free Willy,153698625.0
452,The Fugitive,368875760.0
453,Geronimo: An American Legend,18635620.0
458,Guilty as Sin,22886222.0
459,Hard Target,74189677.0
461,Hot Shots! Part Deux,133752825.0
